Zeit;Solldruck;Istdruck;Solltemp;Isttemp;Anzahl
05.05.2020 08:07:05;0;-0,8;115;112,7;2
05.05.2020 08:08:05;70;68,6;155;112,9;4
05.05.2020 08:09:05;96;99,2;155;119,6;3
05.05.2020 08:10:05;150;148,5;155;129,9;5
05.05.2020 08:11:05;150;147,9;155;138,1;4
05.05.2020 08:12:05;150;147,6;155;143,9;4
05.05.2020 08:13:05;150;147,2;155;147,8;3
05.05.2020 08:14:05;150;146,8;155;149,4;2
05.05.2020 08:15:05;150;146,5;155;150,2;5
05.05.2020 08:16:05;150;146,1;155;150,7;5
05.05.2020 08:17:05;150;149,5;155;151,2;3
05.05.2020 08:18:05;150;149,1;155;151,8;4
05.05.2020 08:19:05;150;148,8;155;152,4;3
